material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37,mat38,mat39,mat40,mat41,mat42,mat43,mat44,mat45,mat46,mat47,mat48,mat49
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.738191685,0,0,0,0.008528692,0,0,3.423824734,0.079404756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538936968,0,0,0,0,0,0,0,0
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,0.404911876,0.70353111,1.473049306,0.621955466,0.449852802,0,0,1.328745033,0,0,0,0.007023629,0,0,6.847649468,0.158809513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49825639,0,0,0,0,0,0,0
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,0.404911876,0.70353111,1.473049306,0.621955466,0.449852802,0,0,1.328745033,0,0,0,0.007023629,0,0,6.847649468,0.238214269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895511008,0,0,0,0,0,0
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.51673418,0,0,0,0.00903038,0,0.415436735,0,0.079404756,0,0,0,0,0,0,0,0,0,0.606559117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.582088221,0,0,0,0,0
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,0.41334754,0.718188008,1.503737833,0.634912872,0.229612368,0,0,0.678213611,0,0,0,0.003584977,0,1.344976429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.100686353,0,0,0,0,0,0,0,0,0,0,0
RGranite,Rainscreen,Granite,./img/rgranite.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.738191685,0,0,0,0.006020253,0,0,1.369529894,0.211746017,0,0,0.834123905,0.834807459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.51673418,0,0,0,0.00903038,0,0.415436735,0,0,0.123687384,0,0,0,0,0,1.565133671,0.217075497,0.922798248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.738191685,0,0,0,0.006020253,0,0,1.369529894,0.211746017,0,0,0.834123905,0,0.48420162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,0.404911876,0.70353111,1.473049306,0.621955466,0.449852802,0,0,1.033468359,0,0,0,0.01806076,0,0.830873469,0,0.158809513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286625044,2.135106074,0,0,0
RWood,Rainscreen,Wood,./img/rwood.png,0.404911876,0.70353111,1.473049306,0.621955466,0.449852802,0,0,1.033468359,0,0,0,0.01806076,0,0.830873469,1.643435872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076441288,2.160994523,0
