material,type,value,name,img
sGranite,Stone / Ceramic,2.78,Granite,./img/Axon_Stone.png
sSlate,Stone / Ceramic,2.7,Slate,./img/Axon_Stone.png
sCeramic,Stone / Ceramic,1.12,Porcelain,./img/Axon_Stone.png
rRubber,Resilient,1.68,Rubber,./img/Axon_Resilient.png
rVinyl,Resilient,1.21,Vinyl,./img/Axon_Resilient.png
rLinoTile,Resilient,0.54,Linoleum,./img/Axon_Resilient.png
mConcrete,Misc.,1.74,Concrete Topper,./img/Axon_Misc.png
mTerrazzo,Misc.,1.49,Thin-Set Terrazzo,./img/Axon_Misc.png
mEpoxy,Misc.,0.84,Epoxy,./img/Axon_Misc.png
cHigh,Carpet,1.86,High Pile,./img/Axon_Carpet.png
cMedium,Carpet,1.57,Medium Pile,./img/Axon_Carpet.png
cLow,Carpet,1.16,Low Pile,./img/Axon_Carpet.png
wEngineered,Wood,-0.79,Engineered,./img/Axon_Wood.png
wBamboo,Wood,-1.12,Bamboo,./img/Axon_Wood.png
wCork,Wood,-1.45,Cork,./img/Axon_Wood.png
wSoftwood,Wood,-2.36,Softwood Plank,./img/Axon_Wood.png
wHardwood,Wood,-2.53,Hardwood Plank,./img/Axon_Wood.png
