material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37
Granite,Masonry Veneer,Granite,./img/granite.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.590553348,0,1.263773389,0,0,0,0.242598333,0,14.47647868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone,Masonry Veneer,Limestone,./img/limestone.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.590553348,0,1.263773389,0,0,0,0.242598333,0,0,7.676880604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick,Masonry Veneer,Brick,./img/brick.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.590553348,0,1.263773389,0,0,0,0,0.268394529,0,0,4.46019153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InsMetPanel,Face Sealed,Insulated Metal Panel,./img/insmetalpanel.png,0.404911876,0.70353111,1.473049306,0,0,0,0,0,0,0,0,0,0.954117986,0,0,0,0,0,1.213118234,12.73167151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spandrel,Curtain Wall,Spandrel,./img/spandrel.png,0.404911876,0.70353111,1.473049306,0,0,4.156460874,0.352556546,1.337011242,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37850886,0.007719798,9.532406256,0.087804415,0.27870912,0,0,0,0,0,0,0,0,0,0,0
GFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/gfrc.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.664372517,0.072744729,0,10.08917784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.951036831,0,0,0,0,0,0,0,0,0
ACM,Rainscreen,Aluminum Composite Material (ACM),./img/acm.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.738191685,0.072744729,0,0,1.02714742,0,0,0,0,0,0,0.606559117,0,0,0,0,0,0,0,0,0,6.157222132,0,0,0,0,0,0,0,0
Terracotta,Rainscreen,Terracotta,./img/terracotta.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.812010854,0.102344308,0,0,3.423824734,0.079404756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538936968,0,0,0,0,0,0,0
PhenResin,Rainscreen,Phenolic Resin,./img/phenresin.png,0.404911876,0.70353111,1.473049306,0.621955466,0.449852802,0,0,1.328745033,0.078263295,0,0,6.847649468,0.158809513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49825639,0,0,0,0,0,0
FiberCement,Rainscreen,Fiber Cement,./img/fibercement.png,0.404911876,0.70353111,1.473049306,0.621955466,0.449852802,0,0,1.328745033,0.078263295,0,0,6.847649468,0.238214269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895511008,0,0,0,0,0
Zinc,Rainscreen,Formed Zinc Panel,./img/zinc.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.51673418,0.109869625,0,0.415436735,0,0.079404756,0,0,0,0,0,0.606559117,0,0,0,0,0,0,0,0,0,0,0,0,0,2.582088221,0,0,0,0
Granite1,Rainscreen,Granite,./img/granite1.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.738191685,0.072744729,0,0,1.369529894,0.211746017,0,0,0.834807459,0,0,0,0,0.834123905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone1,Rainscreen,Limestone,./img/limestone1.png,0.404911876,0.70353111,1.473049306,0.621955466,0.224926401,0,0,0.738191685,0.072744729,0,0,1.369529894,0.211746017,0,0,0,0.48420162,0,0,0,0.834123905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steel,Rainscreen,Formed Steel Panel,./img/steel1.png,0.404911876,0.70353111,1.473049306,0.621955466,0.449852802,0,0,1.033468359,0.21973925,0,0.830873469,0,0.158809513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286625044,2.135106074,0,0
Wood,Rainscreen,Wood,./img/wood1.png,0.404911876,0.70353111,1.473049306,0.621955466,0.449852802,0,0,1.033468359,0.21973925,0,0.830873469,2.465153809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076441288,2.438715861
