material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37
Granite,Masonry Veneer,Granite,./img/granite.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.543453597,0,1.233217089,0,0,0,0.221417277,0,13.98479685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone,Masonry Veneer,Limestone,./img/limestone.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.543453597,0,1.233217089,0,0,0,0.221417277,0,0,7.223020452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick,Masonry Veneer,Brick,./img/brick.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.543453597,0,1.233217089,0,0,0,0,0.227062815,0,0,4.179385676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InsMetPanel,Face Sealed,Insulated Metal Panel,./img/insmetalpanel.png,0.090974423,0.298968322,1.460686059,0,0,0,0,0,0,0,0,0,0.445943515,0,0,0,0,0,0.545294393,5.818651831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spandrel,Curtain Wall,Spandrel,./img/spandrel.png,0.090974423,0.298968322,1.460686059,0,0,4.132923951,0.351086576,0.615188765,0,0,0,0,0,0,0,0,0,0,0,0,0,4.377618567,0.000152227,4.634889651,0.008078364,0.13935456,0,0,0,0,0,0,0,0,0,0,0
GFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/gfrc.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.611385297,0.072696702,0,9.845235416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.657348001,0,0,0,0,0,0,0,0,0
ACM,Rainscreen,Aluminum Composite Material (ACM),./img/acm.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.679316997,0.072696702,0,0,1.015983454,0,0,0,0,0,0,0.545294393,0,0,0,0,0,0,0,0,0,5.690243599,0,0,0,0,0,0,0,0
Terracotta,Rainscreen,Terracotta,./img/terracotta.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.747248696,0.102276739,0,0,3.386611514,0.074225697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.458412976,0,0,0,0,0,0,0
PhenResin,Rainscreen,Phenolic Resin,./img/phenresin.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.611385297,0.039105812,0,0,3.386611514,0.074225697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.345457351,0,0,0,0,0,0
FiberCement,Rainscreen,Fiber Cement,./img/fibercement.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.611385297,0.039105812,0,0,3.386611514,0.111338545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918642925,0,0,0,0,0
Zinc,Rainscreen,Formed Zinc Panel,./img/zinc.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.475521898,0.109797087,0,0.405392047,0,0.074225697,0,0,0,0,0,0.545294393,0,0,0,0,0,0,0,0,0,0,0,0,0,2.579304131,0,0,0,0
Granite1,Rainscreen,Granite,./img/granite1.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.679316997,0.072696702,0,0,1.354644606,0.197935191,0,0,0.806453902,0,0,0,0,0.829400485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone1,Rainscreen,Limestone,./img/limestone1.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.679316997,0.072696702,0,0,1.354644606,0.197935191,0,0,0,0.455575433,0,0,0,0.829400485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steel,Rainscreen,Formed Steel Panel,./img/steel1.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.475521898,0.109797087,0,0.405392047,0,0.074225697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072070967,1.062686625,0,0
Wood,Rainscreen,Wood,./img/wood1.png,0.090974423,0.298968322,1.460686059,0.545560861,0.213872302,0,0,0.475521898,0.109797087,0,0.405392047,1.219180145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012667318,-1.690541149
