material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,53.79294,17.93098,10.95782,6.973158,5.976993,3.984662
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,36.47953,12.15984,7.431016,4.728829,4.053282,2.702188
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,29.60605,9.868684,6.030863,3.837822,3.289561,2.193041
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,18.62834,6.209447,3.794662,2.414785,2.069816,1.379877
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,48.24309,16.08103,9.827297,6.253734,5.360344,3.573563
MEIFS,Misc,EIFS (XPS),./img/mefis.png,30.88614,10.29538,6.291622,4.003759,3.431794,2.287863
MPrecast,Misc,Precast Concrete,./img/mprecast.png,21.65545,7.218484,4.411296,2.807188,2.406161,1.604108
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,16.84524,5.615081,3.431438,2.183643,1.871694,1.247796
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,51.68666,17.22889,10.52876,6.700122,5.742962,3.828641
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,53.996,17.99867,10.99919,6.999482,5.999556,3.999704
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,47.88426,15.96142,9.754201,6.207219,5.320474,3.546982
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,37.90146,12.63382,7.720669,4.913153,4.211274,2.807516
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,41.76798,13.92266,8.508291,5.414367,4.640886,3.093924
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,34.34481,11.44827,6.996166,4.452105,3.81609,2.54406
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,25.29801,8.43267,5.153298,3.279371,2.81089,1.873927
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,43.70121,14.56707,8.902099,5.664972,4.85569,3.237127
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,36.98518,12.32839,7.534018,4.794375,4.109464,2.739643
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,22.15993,7.386642,4.514059,2.872583,2.462214,1.641476
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,21.56922,7.189742,4.393731,2.796011,2.396581,1.59772
RGranite,Rainscreen,Granite,./img/rgranite.png,20.48586,6.828621,4.173046,2.655575,2.276207,1.517471
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,20.65517,6.885058,4.207536,2.677523,2.295019,1.530013
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,19.59864,6.53288,3.992315,2.540564,2.177627,1.451751
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,24.13798,8.045992,4.916995,3.128997,2.681997,1.787998
RWood,Rainscreen,Wood,./img/rwood.png,24.02836,8.009455,4.894667,3.114788,2.669818,1.779879
