material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37,mat38,mat39,mat40,mat41,mat42,mat43,mat44,mat45,mat46,mat47,mat48,mat49
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,0.412977355,0.701765082,2.282778541,0,0,0,0,1.267988299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.658673453,0,0,0.007588796,9.529350397,0.086775109,0.27870912,0,0,0,0,0,0,0,0,0,0,0
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,0.412977355,0.701765082,2.282778541,0,0,0,0,0.760792979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.258738911,0.007588796,9.529350397,0.086775109,0.27870912,0,0,0,0,0,0,0,0,0,0.045791475,0
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,0.412977355,0.701765082,2.282778541,0.59747508,0.225808485,0,0,0.630074416,0,0,0,0.00604311,0,11.53087551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.797561949,0,0,0,0,0,0,0,0,0
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,0.412977355,0.701765082,2.282778541,0.59747508,0.225808485,0,0,0.700082684,0,0,0,0.00604311,0,0,1.647683451,0,0,0,0,0,0,0,0,0,0,0.546612687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.993247251,0,0,0,0,0,0,0,0
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,0.412977355,0.701765082,2.282778541,0.59747508,0.225808485,0,0,0.700082684,0,0,0,0.008561073,0,0,5.492278171,0.117646451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.542790689,0,0,0,0,0,0,0
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,0.412977355,0.701765082,2.282778541,0.59747508,0.45161697,0,0,1.260148831,0,0,0,0.007050295,0,0,10.98455634,0.235292902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.810276529,0,0,0,0,0,0
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,0.412977355,0.701765082,2.282778541,0.59747508,0.45161697,0,0,1.260148831,0,0,0,0.007050295,0,0,10.98455634,0.352939353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.199613177,0,0,0,0,0
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,0.412977355,0.701765082,2.282778541,0.59747508,0.225808485,0,0,0.490057879,0,0,0,0.009064665,0,0.474800756,0,0.117646451,0,0,0,0,0,0,0,0,0,0.546612687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.747735407,0,0,0,0
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,0.42158105,0.716385188,2.330336428,0.609922478,0.230512828,0,0,0.643200966,0,0,0,0.003598588,0,1.537167448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.061479374,0,0,0,0,0,0,0,0,0,0
RGranite,Rainscreen,Granite,./img/rgranite.png,0.412977355,0.701765082,2.282778541,0.59747508,0.225808485,0,0,0.700082684,0,0,0,0.00604311,0,0,2.196911268,0.313723869,0,0,1.201216982,0.835704843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,0.412977355,0.701765082,2.282778541,0.59747508,0.225808485,0,0,0.490057879,0,0,0,0.009064665,0,0.474800756,0,0,0.122169849,0,0,0,0,0,2.383167916,0.220464346,0.924596669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,0.412977355,0.701765082,2.282778541,0.59747508,0.225808485,0,0,0.700082684,0,0,0,0.00604311,0,0,2.196911268,0.313723869,0,0,1.201216982,0,0.485107632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,0.412977355,0.701765082,2.282778541,0.59747508,0.45161697,0,0,0.980115758,0,0,0,0.01812933,0,0.949601512,0,0.235292902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289846495,3.251042633,0,0
RWood,Rainscreen,Wood,./img/rwood.png,0.412977355,0.701765082,2.282778541,0.59747508,0.45161697,0,0,0.980115758,0,0,0,0.01812933,0,0.949601512,2.636293522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077050069,-0.065453455
