material,type,impact1,impact2,name,img,label
gButtGlazed,Glass,66.84,1.61,Butt-Glazed,./img/Partitions/Axons/Glass_Axon_G01_ButtGlazed.png,G - Butt-Glazed
gHollowMetalFrame,Glass,66.10,0.99,Aluminum Frame,./img/Partitions/Axons/Glass_Axon_G02_HollowMetalFrame.png,G - Aluminum Frame
gWoodFrame,Glass,20.50,1.00,Wood Frame,./img/Partitions/Axons/Glass_Axon_G03_WoodFrame.png,G - Wood Frame
cFurredOutMFB,CMU,40.20,2.18,Furred GWB,./img/Partitions/Axons/CMU_Axon_C01_FurredOut_MFB.png,CMU - Furred GWB
cFurredOutEcosmart,CMU,37.03,2.87,Furred Low Carbon GWB,./img/Partitions/Axons/CMU_Axon_C02_FurredOut_Ecosmart.png,CMU - Furred Low CO2 GWB
cPaintedBlock,CMU,27.56,1.73,Painted,./img/Partitions/Axons/CMU_Axon_C03_PaintedBlock.png,CMU - Painted
cJandris,CMU,24.27,2.11,Painted Low Carbon Block,./img/Partitions/Axons/CMU_Axon_C04_Jandris.png,CMU - Painted Low CO2 Block
cFurredOutMDF,CMU,8.75,2.37,Furred MDF,./img/Partitions/Axons/CMU_Axon_C05_FurredOut_MDF.png,CMU - Furred MDF
ms16MinWoolMFB,Metal Stud,22.04,0.52,16 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS01_16_MinWool_MFB.png,MS - 16 OC w/ Min Wool & GWB
msEmb16MinWoolMFB,Metal Stud,20.05,0.50,Embossed 16 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS02_16_Emb_MinWool_MFB.png,MS - Emb 16 OC w/ Min Wool & GWB
ms24MinWoolMFB,Metal Stud,19.95,0.50,24 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS03_24_MinWool_MFB.png,MS - 24 OC w/ Min Wool & GWB
msCut24MinWoolMFB,Metal Stud,19.57,0.52,Cut-out 24 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS04_24_Cut_MinWool_MFB.png,MS - Cut-out 24 OC w/ Min Wool & GWB
ms16MinWoolEcosmart,Metal Stud,18.87,1.22,16 OC w/ Mineral Wool & Low Carbon GWB,./img/Partitions/Axons/MetalStuds_Axon_MS05_16_MinWool_Ecosmart.png,MS - 16 OC w/ Min Wool & Low CO2 GWB
msEmb24MinWoolMFB,Metal Stud,18.62,0.49,Embossed 24 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS06_24_Emb_MinWool_MFB.png,MS - Emb 24 OC w/ Min Wool & GWB
ms16GlassWoolMFB,Metal Stud,17.72,0.49,16 OC w/ Glass Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS07_16_GlassWool_MFB.png,MS - 16 OC w/ Glass Wool & GWB
ms16MFB,Metal Stud,16.58,0.48,16 OC & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS08_16_NoIns_MFB.png,MS - 16 OC & GWB
ms16CelluloselMFB,Metal Stud,15.53,0.91,16 OC w/ Cellulose & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS09_16_Cellulose_MFB.png,MS - 16 OC w/ Cellulose & GWB
msIndustryBest,Metal Stud,12.55,1.17,Industry Best Combination,./img/Partitions/Axons/MetalStuds_Axon_MS10_BEST_16_Emb_GlassWool_Ecosmart.png,MS - Industry Best Combo
ms16MinWoolMDF,Metal Stud,-9.41,0.72,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/MetalStuds_Axon_MS11_16_MinWool_MDF.png,MS - 16 OC w/ Min Wool & MDF
msReimagined,Metal Stud,-19.34,1.08,Reimagined Combination,./img/Partitions/Axons/MetalStuds_Axon_MS12_Reimagined_24_Emb_Cellulose_MDF.png,MS - Reimagined Combo
ws24MinWoolMFB,Wood Stud,10.71,0.52,24 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/WoodStuds_Axon_WS01_24_MinWool_MFB.png,WS - 24 OC w/ Min Wool & GWB
ws16MinWoolMFB,Wood Stud,8.19,0.56,16 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/WoodStuds_Axon_WS02_16_MinWool_MFB.png,WS - 16 OC w/ Min Wool & GWB
ws16MinWoolEcosmart,Wood Stud,5.01,1.25,16 OC w/ Mineral Wool & Low Carbon GWB,./img/Partitions/Axons/WoodStuds_Axon_WS03_16_MinWool_Ecosmart.png,WS - 16 OC w/ Min Wool & Low CO2 GWB
ws16GlassWoolMFB,Wood Stud,3.86,0.53,16 OC w/ Glass Wool & GWB,./img/Partitions/Axons/WoodStuds_Axon_WS04_16_GlassWool_MFB.png,WS - 16 OC w/ Glass Wool & GWB
ws16MFB,Wood Stud,2.72,0.52,16 OC & GWB,./img/Partitions/Axons/WoodStuds_Axon_WS05_16_NoIns_MFB.png,WS - 16 OC & GWB
ws16CelluloseMFB,Wood Stud,1.67,0.95,16 OC w/ Cellulose & GWB,./img/Partitions/Axons/WoodStuds_Axon_WS06_16_Cellulose_MFB.png,WS - 16 OC w/ Cellulose & GWB
wsIndustryBest,Wood Stud,0.68,1.23,Industry Best Combination,./img/Partitions/Axons/WoodStuds_Axon_WS07_BEST_16_GlassWool_Ecosmart.png,WS - Industry Best Combo
ws16MinWoolMDF,Wood Stud,-23.26,0.76,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/WoodStuds_Axon_WS09_16_MinWool_MDF.png,WS - 16 OC w/ Min Wool & MDF
wsReimagined,Wood Stud,-35.37,1.30,Reimagined Combination,./img/Partitions/Axons/WoodStuds_Axon_WS10_Reimagined_16_Cellulose_MDF.png,WS - Reimagined Combo
