material,type,value,name,img,label
wpAluminumPanelA,Wall Protection,10.97,Aluminum Panel (Anodized),./img/WallFinishes/Axons/WallProtection_Axon_WP01_AlumPlateAnodized.png,WP - Aluminum Panel (Anodized)
wpAluminumPanelPC,Wall Protection,8.29,Aluminum Panel (Powder Coated),./img/WallFinishes/Axons/WallProtection_Axon_WP02_AlumPlatePowderCoat.png,WP - Aluminum Panel (Powder Coated)
wpStainlessSteelSheet,Wall Protection,4.04,Stainless Steel Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP03_StainlessStlSheet.png,WP - Stainless Steel Sheet
wpPVCFreeRigidSheet,Wall Protection,4.69,PVC-Free Rigid Sheet ,./img/WallFinishes/Axons/WallProtection_Axon_WP04_PVCFreeRSWP.png,WP - PVC-Free Rigid Sheet 
wpVinylRigidSheet,Wall Protection,2.54,Vinyl Rigid Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP05_RSWP.png,WP - Vinyl Rigid Sheet 
sSolidSurface,Stone / Ceramic,12.16,Solid Surface,./img/WallFinishes/Axons/StoneCeramic_Axon_SC01_SolidSurface.png,SC - Solid Surface
sSinteredStone,Stone / Ceramic,3.7,Sintered Stone,./img/WallFinishes/Axons/StoneCeramic_Axon_SC02_SinteredStone.png,SC - Sintered Stone
sPorcelainTile,Stone / Ceramic,1.47,Porcelain Tile,./img/WallFinishes/Axons/StoneCeramic_Axon_SC03_PorcelainTile.png,SC - Porcelain Tile
mMetalVeneerPanel,Misc.,4.64,Metal Veneer Panel,./img/WallFinishes/Axons/Misc_Axon_M01_MetalVeneer.png,M - Metal Veneer Panel
mTextile,Misc.,2.77,Textile,./img/WallFinishes/Axons/Misc_Axon_M02_Textile.png,M - Textile
mPaint,Misc.,0.41,Paint,./img/WallFinishes/Axons/Misc_Axon_M03_Paint.png,M - Paint
mWallpaperNW,Misc.,0.13,Wallpaper (Non-Woven),./img/WallFinishes/Axons/Misc_Axon_M04_NonWovenWallpaper.png,M - Wallpaper (Non-Woven)
mWallpaperPaper,Misc.,0.19,Wallpaper (Paper),./img/WallFinishes/Axons/Misc_Axon_M05_PaperWallpaper.png,M - Wallpaper (Paper)
mPlasticLaminate,Misc.,0.58,Plastic Laminate,./img/WallFinishes/Axons/Misc_Axon_M06_PlasticLaminate.png,M - Plastic Laminate
saCemWdPanel,Sound Absorbing,2.85,Cementitious Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA01_CementitiousWoodPanel.png,SA - Cementitious Wood Panel
saAcousticWoodPanel,Sound Absorbing,4.9,Acoustic Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA02_AcousticWoodPanel.png,SA - Acoustic Wood Panel
saPETFeltPanel,Sound Absorbing,1.96,PET Felt Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA03_PET.png,SA - PET Felt Panel
saCorkTile,Sound Absorbing,-1.57,Cork Tile,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA04_CorkTile.png,SA - Cork Tile
wBambooPanel,Wood,2.66,Bamboo Panel,./img/WallFinishes/Axons/Wood_Axon_W01_BambooPanel.png,W - Bamboo Panel
wVeneerMDF,Wood,1.79,Veneer (on MDF),./img/WallFinishes/Axons/Wood_Axon_W02_VeneeronMDF.png,W - Veneer (on MDF)
wVeneerParticleBoard,Wood,0.79,Veneer (on Particle Board),./img/WallFinishes/Axons/Wood_Axon_W03_VeneeronParticleBoard.png,W - Veneer (on Particle Board)
